S.No,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Prant,"Kerala, Lakshadweep",Dakshin Tamilnadu,"Uttar Tamilnadu, Pondicherry",Dakshin Karnataka,Uttar Karnataka,Telangana,Andhra Pradesh,Gujarat,Goa,Konkan,Paschim Maharashtra,Devgiri,Vidarbha,Chhattisgarh,Malwa,Madhya Bharat,Mahakoshal,Jaipur,Jodhpur,Chittod,Haryana,Delhi,"Jammu, Kashmir and Ladakh",Punjab and Chandigarh,Himachal Pradesh,Uttarakhand,Meerut,Braj,Kanpur,Awadh,Kashi,Goraksh,Dakshin Bihar,Uttar Bihar,Jharkhand,Odisha Paschim,Odisha Purva,"Dakshin Bengal, Andaman and Nicobar","Uttar Bengal, Sikkim","Uttar Assam, Meghalaya, Nagaland","Dakshin Assam, Tripura, Mizoram",Manipur,Arunachal Pradesh
,Alappuzha,Ariyalur,Karaikal,Bengaluru (Bangalore) Rural ,Bagalkot ,Jagtial,Anantapur,Ahmedabad,North Goa,Mumbai City,Nashik,Nanded,Gondia,Balod,Indore,Bhopal,Jabalpur,Jaipur,Jodhpur,Bhilwara,Ambala,Central Delhi,Anantnag,Amritsar,Bilaspur,Almora,Meerut,Agra,Kanpur Nagar,Lucknow,Varanasi,Gorakhpur,Banka,Siwan,Bokaro,Sundargarh,Mayurbhanj,Bankura,Darjeeling,Baksa,Karimganj,Bishnupur,Anjaw
,Ernakulam,Coimbatore,Mahe,Bengaluru (Bangalore) Urban ,Ballari (Bellary) ,Jangaon,Chittoor,Vadodara,South Goa,Mumbai suburban,Ahmednagar,Hingoli,Bhandara,Baloda Bazar,Ujjain,Gwalior,Satana,Sikar,Pali,Bundi,Bhiwani,East Delhi,Bandipore,Barnala,Chamba,Bageshwar,Baghpat,Mathura,Kanpur Dehat ,Sitapur,Chandauli,Kushinagar,Bhagalpur,Gopalganj,Chatra,Jharsuguda,Balasore,Pashchim Bardhaman,Kalimpong,Mushalpur,Hailakandi,Chandel,Changlang
,Idukki,Dindigul,Puducherry,Chamarajanagar ,Belagavi (Belgaum) ,Jayashankar Bhoopalpally,East Godavari,Anand,,Palghar,Pune,Parbhani,Chandrapur,Balrampur,Nagada,Bhind,Shahdol,Jhunjhunu,Sirohi,Kota,Charkhi Dadri,New Delhi,Baramulla,Bathinda,Hamirpur,Chamoli,Ghaziabad,Firozabad,Kannauj,Lakhimpur Kheri,Mirzapur,Maharajgunj,Monghyr,East Champaran,Deoghar,Deogarh,Keonjhar,Purba Bardhaman,Jalpaiguri,Barpeta,Cachar,Churachandpur,Dibang Valley
,Kannur,Karur,Yanam,Chikballapur ,Bidar ,Jogulamba Gadwal,Guntur,Chhota Udaipur,,Thane,Satara,Jalana,Gadchiroli,Bastar,Ratlam,Morena,Sivani,Churu,Jalor,Jhalawar,Faridabad,North Delhi,Budgam,Faridkot,Kangra,Champawat,Gautam Buddha Nagar,Mainpuri,Farrukhabad,Hardoi,Sonbhadra,Basti,Jamui,West Champaran,Dhanbad,Sambalpur,Bhadrak,Birbhum,Alipurduar,Biswanath Chariali,Dima Hasao,Imphal East,East Kameng
,Kasaragod,Madurai,Chennai,Chikkamagaluru (Chikmagalur),Dharwad ,Kamareddy,YSR Kadapa district,Dahod,,Raigad,Solapur,Beed,Nagpur.,Bemetara,Neemuch,Datia,Sidhi,Alwar,Barmer,Banswara,Fatehabad,North East Delhi,Doda,Fatehgarh Sahib,Kinnaur,Dehradun,Muzzafarnagar,Sikri,Auraiya ,Unnao,Gazipur,Siddharthnagar,Lakhisarai,Sitamarhi,Dumka,Bargarh,Jajpur,Purulia,Cooch Bihar,Bongaigaon,Aizawl,Imphal West,East Siang
,Kollam,Nagapattinam,Chengalpet,Chitradurga ,Gadag ,Karimnagar,Krishna,Kheda,,Ratnagiri,Sangli,Latur,Yeotmal,Bijapur,Mandsaur,Sheopur,Katni,Dausa,Jaisalmer,Chittorgarh,Gurugram,North West Delhi,Ganderbal,Fazilka,Kullu,Haridwar,Bijnor,Aligarh,Etawah ,Barabanki,Jaunpur,Sant Kabir Nagar,Sheikhpura,Muzaffarpur,East Singhbhum,Sonepur,Kendrapada,Murshidabad,Uttar Dinajpur,Charaideo,Champhai,Jiribam,Kamle
,Kottayam,Nilgiri,Cuddalore,Dakshina Kannada ,Haveri ,Khammam,Kurnool,Mahisagar,,Sindhudurgh,Kolhapur,Usmanabad,Wardha.,Bilaspur,Jhabua,Vidisha,Panna,Tonk,Bikaner,Pratapgarh,Hisar,Shahdara,Jammu,Ferozepur,Lahaul & Spiti,Nainital,Saharanpur,Hathras,Hamirpur ,Rae Bareli,Prayagraj,Ballia,Nawada,Vaishali,Garhwa,Boudh,Anugul,Nadia,Dakshin Dinajpur,Sonari,Kolasib,Kakching,Kra Daadi
,Kozhikode,Kanyakumari,Dharmapuri,Davangere ,Kalaburagi (Gulbarga) ,Komaram Bheem Asifabad,Nellore,Panchmahal,,,,Aurangabad,Amravati.,Dantewada (South Bastar),Alirajpur,Guna,Dindori,Kauroli,Nagour,Baran,Jhajjar,South Delhi,Kargil,Gurdaspur,Mandi,Pauri Garhwal,Bulandshahr,,Mahoba ,Balrampur,Kaushambi,Mau,Nalanda,Darbhanga,Giridih,Balangir,Dhenkanal,West Midnapore,Malda,Chirang,Lunglei,Kamjong,Kurung Kumey
,Malappuram,Perambalur,Erode,Hassan ,Koppal ,Mahabubabad,Prakasam,Gandhinagar,,,,Jalgaon,Akola,Dhamtari,Burhanpur,Rajgad,Reva,Sawai Madhopur,Sriganganagar,Dungarpur,Jind,South East Delhi,Kathua,Hoshiarpur,Shimla,Pithoragarh,Hapur,,Banda ,Gonda,Pratapgarh,Javeria,Gaya,Madhubani,Godda,Nawapara,Cuttack,East Midnapore,East Sikkim,Kajalgaon,Lawngtlai,Kangpokpi,Lepa Rada
,Palakkad,Pudukottai,Kallakurichi,Kodagu [Coorg]  ,Raichur ,Mahabubnagar,Srikakulam,Aravalli,,,,Dhule,Buldhana,Durg,Shajapur,Harda,Damoh,Dholpur,Hanumangarh,Udaipur,Kaithal,South West Delhi,Kishtwar,Jalandhar,Sirmaur (Sirmour),Rudraprayag,Moradabad,,Chitrakoot ,Shravasti,Sultanpur,Aryamgar,Aurangabad,Samastipur,Gumla,Kalahandi,Jagatsinghpur,Jhargram,North Sikkim,Darrang,Saiha,Noney,Lohit
,Pathanamthitta,Ramanathapuram,Kancheepuram,Kolar ,Uttara Kannada (Karwar),Mancherial,Visakhapatnam,Banaskantha,,,,Nandurbar,Washim,Gariyaband,Dewas,Shivpuri,Sagar,Bharatpur,,Rajsamand,Karnal,West Delhi,Kulgam,Kapurthala,Solan,Tehri Garhwal,Rampur,,Jhansi,Ambedkar Nagar,Amethi,,Kaimur (HQ Babua),Begusarai,Hazaribag,Rayagarh,Puri,Hoogly,South Sikkim,Mangaldai,Serchhip,Pherzawl,Longding
,Thiruvananthapuram,Sivagangai,Krishnagiri,Mandya ,Vijayapura (Bijapur),Medak,Vizianagaram,Mehsana,,,,,,Janjgir-Champa,Khandwa,Raisen,Narsinghpur,,,Ajmer,Kurukshetra,,Kupwara,Ludhiana,Una,Udham Singh Nagar,Sambhal,,Lalitpur ,Bahraich,Badohi,,Rohtas,Khagaria,Jamtara,Navarangpur,Nayagarh,Howrah,West Sikkim,Dhemaji,Mamit,Senapati,Lower Dibang Valley
,Thrissur,Thenkasi,Namakkal,Mysuru (Mysore) ,Yadgir,Medchal,West Godavari,Patan,,,,,,Jashpur,Aagar malwa,Ashoknagar,Balaghat,,,,Mahendragarh,,Leh,Mansa,,Uttarkashi,Amroha,,Fatehpur,Ayodhya,,,Jehanabad,Supaul,Khunti,Koraput,Kandhamala,Kolkata,,Dhubri,Agartala,Tamenglong,Lower Siang
,Wayanad,Thanjavur,Puducherry,Ramanagara ,,Nagarkurnool,,Sabarkantha,,,,,,Kabirdham (Kawardha),Khargone,Hoshangabad,Anuppur,,,,Nuh,,Poonch,Moga,,,Shamli,,Jalaon,,,,Arwal,Saharsa,Koderma,Malkangiri,Ganjam,North 24 Parganas,,Dibrugarh,Dharmanagar,Tengnoupal,Lower Subansiri
,Lakshadweep,Theni,Salem,Shivamogga (Shimoga),,Nalgonda,,Rajkot,,,,,,Kanker (North Bastar),Barwan,,,,,,Palwal,,Pulwama,Muktsar,,,,,,,,,Buxar,Madhepura,Latehar,,Gagapati,South 24  Parganas,,Haflong,Udaipur,Thoubal,Namsai
,,Tuticorin,Ranipet,Tumakuru (Tumkur),,Nirmal,,Amreli,,,,,,Kondagaon,Dhar,,,,,,Panchkula,,Rajouri,Nawanshahr (Shahid Bhagat Singh Nagar),,,,,,,,,Bhojpur,Purnea,Lohardaga,,Ghumsar,Nicobar,,Goalpara,Kailasahar,Ukhrul,Pakke Kessang
,,Trichirappalli,Thiruvallur,Udupi,,Nizamabad,,Bhavnagar,,,,,,Korba,,,,,,,Panipat,,Ramban,Pathankot,,,,,,,,,Patna,Katihar,Pakur,,,North and Middle Andaman,,Golaghat,Bishalgarh,,Papum Pare
,,Thiruvarore,Tirupathur,,,Peddapalli,,Botad,,,,,,Korea (Koriya),,,,,,,Rewari,,Reasi,Patiala,,,,,,,,,,Kishanganj,Palamu,,,South Andaman,,Hojai,Teliamura,,Shi Yomi
,,Thirunelveli,Thiruvannamalai,,,Rajanna Sircilla,,Devbhoomi Dwarka,,,,,,Mahasamund,,,,,,,Rohtak,,Samba,Rupnagar,,,,,,,,,,Araria,Ramgarh,,,,,Jorhat,Khowai,,Siang
,,Thiruppur,Vellore,,,Rangareddy,,Gir Somnath,,,,,,Mungeli,,,,,,,Sirsa,,Shopian,Sahibzada Ajit Singh Nagar (Mohali),,,,,,,,,,Chhapra,Ranchi,,,,,Kamrup,Belonia,,Tawang
,,Virudhunagar,Viluppuram,,,Sangareddy,,Jamnagar,,,,,,Narayanpur,,,,,,,Sonipat,,Srinagar,Sangrur,,,,,,,,,,Noogchhaiya,Sahibganj,,,,,Guwahati,Melaghar,,Tirap
,,,,,,Siddipet,,Junagadh,,,,,,Raigarh,,,,,,,Yamunanagar,,Udhampur,Tarn Taran,,,,,,,,,,,Seraikela-Kharsawan,,,,,Amingaon,Mohanpur,,Upper Siang
,,,,,,Suryapet,,Morbi,,,,,,Raipur,,,,,,,,,Ladakh,Chandigarh,,,,,,,,,,,Simdega,,,,,Karbi Anglong,Ambassa,,Upper Subansiri
,,,,,,Vikarabad,,Porbandar,,,,,,Rajnandgaon,,,,,,,,,,,,,,,,,,,,,West Singhbhum,,,,,Diphu,Ranirbazar,,West Kameng
,,,,,,Wanaparthy,,Surendranagar,,,,,,Sukma,,,,,,,,,,,,,,,,,,,,,,,,,,Kokrajhar,Santirbazar,,West Siang
,,,,,,Warangal (Rural),,Kachchh,,,,,,Surajpur,,,,,,,,,,,,,,,,,,,,,,,,,,Lakhimpur,Kumarghat,,
,,,,,,Warangal (Urban),,Surat,,,,,,Surguja,,,,,,,,,,,,,,,,,,,,,,,,,,North Lakhimpur,Sonamura,,
,,,,,,Yadadri Bhuvanagiri,,Bharuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Majuli,Panisagar,,
,,,,,,,,Dang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Garamur,Amarpur,,
,,,,,,,,Narmada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morigaon,Jirania,,
,,,,,,,,Navsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nagaon,Kamalpur,,
,,,,,,,,Tapi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nalbari,Sabroom,,
,,,,,,,,Valsad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sivasagar,,,
