time,x,y,z
1572434764907,2.3143768,-8.472946,11.846436
1572434764927,-2.1574707,-9.845871,14.278488000000001
1572434764948,-8.551407000000001,-11.218811,17.495071
1572434764967,-11.218811,-10.238144,19.142578
1572434764987,-11.571854,-9.022125,17.691193
1572434765006,-13.846985,-6.864654499999999,16.043685999999997
1572434765033,-17.142029,-9.06134,17.416610000000002
1572434765046,-20.397827,-9.728195,17.37738
1572434765067,-19.377945,-10.4734955,18.514954
1572434765089,-1.5298308999999999,-7.8453217,26.477951
1572434765106,3.765747,-0.31381226,21.653091
1572434765126,-2.5497284,-4.3541565,18.201141
1572434765146,-9.688965,-8.119904,9.767425999999999
1572434765166,-10.4734955,-8.904434,2.2751465
1572434765188,-7.884552,-6.472397,-0.43148804
1572434765206,-5.7663116,-4.1972504,0.15690613
1572434765226,-6.668518,-3.5303955,1.9613342
1572434765245,-6.472397,-3.0596771,2.9420013
1572434765265,-4.589508,-2.8243103,1.8436432
1572434765285,-2.7458649,-3.334259,-0.8237610000000001
1572434765306,-2.4320526,-4.746414,-0.9806671
1572434765325,-2.902771,-5.452499400000001,1.255249
1572434765345,-2.1966857999999996,-4.9033203,2.8635406000000003
1572434765367,-3.2165833,-4.001114,2.4320526
1572434765386,-5.4132690000000006,-3.3734894,2.9420013
1572434765407,-7.1784669999999995,-3.2950287000000005,4.2364654999999996
1572434765425,-5.648636,-2.6674042,5.452499400000001
1572434765445,-4.432601999999999,-2.3928222999999997,6.825424000000001
1572434765465,-4.0795593,-1.9221039,6.903885000000001
1572434765485,-4.040344,-2.07901,6.276260400000001
1572434765505,-8.276810000000001,-2.471283,3.3734894
1572434765525,-12.121017,-5.4917297,-2.1182404
1572434765545,-8.747527999999999,-2.1182404,0.8237610000000001
1572434765565,-5.8839874000000005,1.0198975000000001,8.943665
1572434765584,-8.237579,-1.4121552,4.275696
1572434765605,-14.827651999999999,-2.2359161,4.118789700000001
1572434765624,-13.768539,-2.0005493000000003,4.550293
1572434765645,-12.866333000000001,-2.3928222999999997,2.8635406000000003
1572434765664,-10.708862,-1.8828735,1.9613342
1572434765684,-10.39505,-2.353592,2.6674042
1572434765704,-9.688965,-3.0596771,3.765747
1572434765724,-5.4132690000000006,-3.4911652,3.8049774
1572434765744,-2.5497284,-5.805542,2.510498
1572434765764,-1.5690613000000002,-7.7668610000000005,2.1182404
1572434765783,-2.8243103,-8.982895,1.7651978
1572434765803,-4.0795593,-8.080672999999999,1.7259673999999998
1572434765824,-6.354706,-7.2961426,1.8044281000000002
1572434765843,-8.041458,-7.100021400000001,0.78453064
1572434765863,-6.668518,-7.1784669999999995,1.6475220000000002
1572434765883,-5.2955933,-5.4132690000000006,3.9226532
1572434765903,-6.9823303,-5.648636,5.805542
1572434765922,-7.884552,-7.1784669999999995,5.7663116
1572434765944,-7.139236500000001,-7.884552,2.0397797
1572434765964,-6.1585693,-9.492844,-1.0198975000000001
1572434765983,-5.138687,-10.4734955,-1.6475220000000002
1572434766003,-5.2955933,-10.277374,-0.8237610000000001
1572434766023,-4.7856445,-10.002777,-0.47071838
1572434766042,-5.217132599999999,-12.47406,1.9613342
1572434766062,-4.707199,-16.357498,2.628189
1572434766083,-3.6088410000000004,-20.280151,18.593414000000003
1572434766102,-0.039230347,-23.104477,13.925445999999999
1572434766122,0.3530426,-18.593414000000003,2.1966857999999996
1572434766141,-0.23536682,-14.670746,-1.6867371
1572434766162,-1.255249,-12.199478,-3.334259
1572434766182,-1.7259673999999998,-11.728760000000001,-5.0210114
1572434766201,-2.0397797,-11.571854,-4.7856445
1572434766221,-2.2751465,-10.238144,-3.3734894
1572434766243,-2.1966857999999996,-9.100571,0.50994873
1572434766261,-1.8044281000000002,-8.708313,2.8243103
1572434766281,-1.1375732,-8.237579,0.3530426
1572434766300,-1.0198975000000001,-7.3746032999999995,-0.7453003
1572434766321,-0.78453064,-6.3154907,-1.0983428999999998
1572434766342,-0.039230347,-5.727081299999999,-1.5298308999999999
1572434766362,0.3530426,-4.864105,-1.6082916
1572434766382,0.78453064,-4.040344,-1.7651978
1572434766401,1.2160187,-3.2165833,-2.07901
1572434766420,1.3337097,-3.334259,-2.1966857999999996
1572434766441,0.7060852,-4.432601999999999,-2.2359161
1572434766460,-3.5696258999999997,-6.472397,11.807205
1572434766480,-3.1381226000000004,-9.532059,0.15690613
1572434766500,-4.2364654999999996,-15.141464000000001,-2.353592
1572434766520,-8.629852,-20.7901,4.707199
1572434766540,-4.981781,-14.866882,0.50994873
1572434766560,-2.902771,-9.532059,3.3734894
1572434766581,-1.3729248,-8.276810000000001,1.3729248
1572434766600,-0.7453003,-9.885100999999999,0.58839417
1572434766620,-0.66685486,-11.767975,-0.39227295
1572434766639,-1.0983428999999998,-11.454163000000001,-1.0983428999999998
1572434766659,-1.6867371,-10.708862,-0.94143677
1572434766682,-1.7651978,-9.571289,-0.8237610000000001
1572434766699,-2.07901,-8.394485000000001,-0.7453003
1572434766719,-2.1966857999999996,-7.2569275,-0.50994873
1572434766742,-2.2751465,-6.7469788,-0.15690613
1572434766758,-2.8635406000000003,-7.335373,-0.039230347
1572434766778,-4.040344,-8.590622,-0.58839417
1572434766800,-4.824875,-9.375153,-0.8237610000000001
1572434766819,-5.452499400000001,-9.64975,-0.66685486
1572434766839,-5.962448,-9.767425999999999,-0.7453003
1572434766859,-6.1585693,-9.806656,-0.23536682
1572434766879,-6.668518,-9.963562,0.07846069
1572434766899,-6.668518,-10.826538000000001,1.6867371
1572434766919,-6.668518,-11.375717,4.3541565
1572434766939,-6.590072599999999,-11.611069,2.5497284
1572434766959,-6.590072599999999,-12.003342,0.7453003
1572434766979,-6.590072599999999,-12.709427,-0.039230347
1572434766998,-6.629303,-14.043121,0.47071838
1572434767018,-5.4132690000000006,-15.416061,3.2558136
1572434767039,-3.2950287000000005,-16.082901,10.39505
1572434767057,-3.0204467999999998,-14.906113000000001,6.903885000000001
1572434767077,-3.2558136,-13.023239,1.2944794
1572434767098,-4.824875,-13.376266500000002,0.23536682
1572434767117,-5.099457,-13.297820999999999,-1.5690613000000002
1572434767137,-4.6287384000000005,-13.415497,-4.942550700000001
1572434767157,-3.726532,-13.650864000000002,-5.8447569999999995
1572434767177,-1.0198975000000001,-11.964111,-6.080124
1572434767198,0.27458190000000005,-11.022675,2.3928222999999997
1572434767218,0.6276245,-10.39505,0.9806671
1572434767237,-0.78453064,-9.64975,0.31381226
1572434767257,-2.3928222999999997,-7.6884155,-0.9022064000000001
1572434767277,-1.4121552,-6.7077484,-1.8044281000000002
1572434767296,-0.19613647,-6.3154907,-1.6475220000000002
1572434767316,0.94143677,-5.6094055,-1.7651978
1572434767337,1.7651978,-4.0795593,-1.8828735
1572434767356,2.1966857999999996,-2.628189,-2.1182404
1572434767376,2.4320526,-1.6867371,-2.3928222999999997
1572434767396,1.9221039,-1.7651978,-1.4121552
1572434767416,-3.5696258999999997,-3.6480713,6.864654499999999
1572434767435,-2.7458649,-10.120467999999999,-2.8243103
1572434767455,-3.8049774,-14.317703,-4.9033203
1572434767475,-6.393936,-16.004456,-5.2955933
1572434767496,-8.119904,-15.102248999999999,5.6094055
1572434767515,-3.5303955,-11.532623,2.1966857999999996
1572434767535,-0.6276245,-10.002777,1.4906158
1572434767555,-0.47071838,-11.022675,0.19613647
1572434767575,-0.6276245,-11.4149475,-0.7060852
1572434767594,-0.86299133,-11.14035,-0.94143677
1572434767614,-1.1768036,-10.944229,-1.2160187
1572434767635,-1.4121552,-10.35582,-1.3337097
1572434767654,-1.8044281000000002,-9.375153,-1.1375732
1572434767675,-2.0397797,-8.31604,-0.8237610000000001
1572434767694,-2.4320526,-7.727646000000001,-0.50994873
1572434767714,-3.1381226000000004,-7.9629974,-0.31381226
1572434767734,-4.118789700000001,-8.31604,-0.5491791
1572434767754,-4.5110626,-8.5121765,-0.3530426
1572434767774,-5.0210114,-8.747527999999999,0.07846069
1572434767796,-5.923218,-8.747527999999999,0.7060852
1572434767814,-6.4331665000000005,-8.355269999999999,0.6276245
1572434767834,-6.550842299999999,-8.472946,1.0198975000000001
1572434767854,-6.7469788,-9.375153,0.27458190000000005
1572434767874,-6.080124,-11.101135000000001,-0.19613647
1572434767894,-5.4132690000000006,-12.43483,-0.19613647
1572434767914,-4.5110626,-13.21936,0.50994873
1572434767934,-4.0795593,-14.003891000000001,1.9613342
1572434767954,-5.0210114,-15.455276500000002,2.3143768
1572434767975,-5.4917297,-16.043685999999997,4.4718323
1572434767993,-4.981781,-15.416061,7.2961426
1572434768013,-5.2955933,-14.906113000000001,8.198364
1572434768032,-6.0408935999999995,-13.572403,3.4519347999999996
1572434768054,-6.590072599999999,-12.905548,-0.9806671
